P_1000all,P_100all,P_10all,P_20all,Rprecall,bprefall,errall,map_cut_1000all,map_cut_100all,map_cut_10all,map_cut_20all,ndcg_cut_1000all,ndcg_cut_100all,ndcg_cut_10all,ndcg_cut_20all,rdp_5all,rdp_8all,rdp_95all,recall_1000all,recall_100all,recall_10all,recall_20all,recip_rankall
0.0198,0.11,0.26,0.223,0.132,0.1633,0.20724,0.0612,0.0532,0.0216,0.0311,0.2067,0.1605,0.153,0.1485,0.3341,0.2771,0.1983,0.2959,0.1694,0.0342,0.0678,0.5289
0.0198,0.122,0.27,0.246,0.1417,0.165,0.21761,0.0705,0.0627,0.0238,0.0358,0.2153,0.1776,0.1629,0.1669,0.351,0.2988,0.2154,0.2959,0.1834,0.0386,0.0731,0.5321
0.0198,0.111,0.254,0.224,0.1265,0.1615,0.21505,0.062,0.0536,0.0216,0.0316,0.2082,0.1624,0.1546,0.1521,0.3441,0.2808,0.1961,0.2959,0.1673,0.0361,0.0654,0.5386
0.0198,0.1096,0.272,0.221,0.1289,0.1614,0.21947,0.061,0.0526,0.0235,0.0322,0.2084,0.1618,0.1632,0.1541,0.3479,0.2886,0.1965,0.2959,0.1627,0.0397,0.0644,0.5374
0.0198,0.1106,0.268,0.224,0.127,0.162,0.21917,0.0618,0.0538,0.0224,0.0321,0.2085,0.1622,0.1602,0.1564,0.3361,0.2819,0.1965,0.2959,0.1677,0.0386,0.0676,0.5324
0.0198,0.1094,0.282,0.229,0.1292,0.164,0.2203,0.0626,0.0542,0.0242,0.0339,0.2098,0.1642,0.1645,0.1613,0.3504,0.2968,0.1993,0.2959,0.167,0.0403,0.0718,0.5374
0.0354,0.2064,0.402,0.365,0.2358,0.2599,0.25543,0.1757,0.1486,0.047,0.0763,0.3555,0.2761,0.2352,0.2422,0.4036,0.3964,0.3209,0.508,0.3046,0.0648,0.1212,0.5241
0.0354,0.2194,0.456,0.438,0.2605,0.2847,0.31576,0.2036,0.1786,0.0567,0.0956,0.3775,0.3107,0.2895,0.3012,0.5107,0.4735,0.373,0.5077,0.327,0.0732,0.1389,0.6363
0.0387,0.2058,0.52,0.475,0.2528,0.3141,0.34057,0.2145,0.1867,0.0629,0.1093,0.4228,0.3251,0.3278,0.3385,0.5646,0.5226,0.3881,0.6205,0.3371,0.0849,0.1673,0.692
0.0365,0.198,0.4,0.396,0.2377,0.2881,0.27639,0.1874,0.1559,0.0449,0.0809,0.3857,0.2896,0.2369,0.2609,0.392,0.4004,0.336,0.5873,0.3371,0.0623,0.1307,0.5194
0.0387,0.2054,0.502,0.453,0.2583,0.3079,0.31316,0.2123,0.1832,0.06,0.1028,0.4175,0.317,0.3113,0.3174,0.5215,0.4983,0.3791,0.6205,0.3359,0.086,0.155,0.6515
0.0387,0.1998,0.45,0.416,0.2476,0.2966,0.26444,0.1952,0.1644,0.0508,0.0879,0.3976,0.2917,0.2523,0.2675,0.3932,0.4201,0.3499,0.6205,0.3244,0.0795,0.1398,0.5387
0.0188,0.1218,0.278,0.248,0.1385,0.1362,0.11547,0.0718,0.0635,0.0232,0.0365,0.1819,0.1436,0.125,0.1306,0.271,0.2755,0.2108,0.2794,0.1776,0.0453,0.0774,0.4038
0.0188,0.1218,0.246,0.222,0.1366,0.1327,0.1166,0.0665,0.0583,0.0196,0.0306,0.1763,0.1381,0.1143,0.1158,0.2437,0.2383,0.1954,0.2794,0.1776,0.0385,0.0667,0.3631
0.0188,0.1218,0.244,0.229,0.1339,0.1326,0.12554,0.066,0.0577,0.019,0.0309,0.1769,0.1387,0.1147,0.1221,0.2503,0.2444,0.1966,0.2794,0.1776,0.0386,0.0691,0.3825
0.0339,0.158,0.346,0.324,0.1932,0.2434,0.30467,0.1298,0.106,0.0367,0.0592,0.3266,0.2247,0.233,0.2262,0.399,0.3565,0.2682,0.5084,0.2453,0.0562,0.1129,0.5895
0.0321,0.1562,0.342,0.315,0.1871,0.2394,0.30488,0.1256,0.1046,0.0373,0.0576,0.3146,0.2235,0.2351,0.2245,0.4052,0.3541,0.2644,0.4802,0.2429,0.0564,0.1079,0.6001
0.0311,0.154,0.342,0.314,0.1869,0.2386,0.30666,0.1229,0.1031,0.0378,0.0581,0.3073,0.2215,0.2352,0.2238,0.4055,0.3547,0.2632,0.4598,0.2358,0.0564,0.1077,0.6035
0.0273,0.1422,0.308,0.308,0.1816,0.2381,0.16592,0.1307,0.1141,0.0397,0.067,0.2765,0.2009,0.1856,0.1992,0.2916,0.3045,0.2534,0.4127,0.2265,0.0537,0.0994,0.3876
0.0273,0.1416,0.304,0.3,0.179,0.235,0.15358,0.1285,0.1121,0.039,0.064,0.2758,0.1996,0.1806,0.1918,0.2847,0.2958,0.2485,0.4127,0.2248,0.0531,0.096,0.3741
0.03,0.1832,0.424,0.396,0.2167,0.2498,0.24911,0.1578,0.1402,0.0466,0.0796,0.3065,0.2503,0.248,0.2548,0.3559,0.394,0.3272,0.4221,0.2728,0.0668,0.1318,0.4661
0.0278,0.1616,0.346,0.305,0.182,0.1979,0.29008,0.1173,0.0951,0.0344,0.0517,0.2835,0.2142,0.225,0.2135,0.4111,0.3621,0.2642,0.3911,0.2366,0.0545,0.0929,0.6049
0.0158,0.1384,0.3,0.288,0.1636,0.1444,0.15548,0.0922,0.0877,0.0281,0.0491,0.1816,0.1745,0.1517,0.164,0.2775,0.2842,0.2391,0.2244,0.1973,0.0493,0.0959,0.4001
0.0341,0.1756,0.338,0.358,0.2076,0.2845,0.13522,0.1645,0.1399,0.0441,0.0798,0.3191,0.2245,0.1699,0.2019,0.3345,0.342,0.2966,0.4975,0.2803,0.0593,0.1205,0.4381
0.0346,0.1764,0.344,0.349,0.2145,0.2834,0.13641,0.1645,0.1393,0.0441,0.0778,0.3219,0.2228,0.169,0.1998,0.3135,0.3358,0.2949,0.506,0.2733,0.0576,0.117,0.4119
0.034,0.1754,0.346,0.357,0.2082,0.2846,0.13344,0.1653,0.1413,0.0458,0.0806,0.3198,0.2241,0.1678,0.1994,0.3347,0.3453,0.298,0.4952,0.2768,0.0605,0.1208,0.4344
0.0355,0.1906,0.364,0.355,0.2248,0.2908,0.14277,0.1732,0.1451,0.0466,0.0798,0.3398,0.2427,0.177,0.2068,0.3295,0.3489,0.3046,0.5227,0.3027,0.0635,0.1224,0.4382
0.0288,0.178,0.39,0.367,0.2084,0.2502,0.17251,0.1528,0.138,0.0493,0.0776,0.2986,0.2362,0.2015,0.2174,0.3598,0.3692,0.3067,0.4332,0.2702,0.0688,0.1192,0.488
0.0306,0.1824,0.362,0.346,0.2108,0.246,0.16502,0.1506,0.1331,0.0433,0.0705,0.3064,0.2354,0.191,0.2008,0.3423,0.3524,0.2965,0.4586,0.2779,0.0632,0.1132,0.4548
0.0307,0.181,0.358,0.34,0.2083,0.2462,0.16399,0.1499,0.132,0.0432,0.0697,0.3071,0.2349,0.1905,0.1995,0.342,0.3507,0.2947,0.4617,0.2783,0.0629,0.1095,0.4552
0.0294,0.1314,0.256,0.235,0.1486,0.2209,0.14446,0.0947,0.0716,0.0232,0.034,0.2614,0.1674,0.1226,0.1341,0.2785,0.2659,0.2208,0.4224,0.1898,0.0424,0.0739,0.4383
0.0294,0.1302,0.258,0.234,0.1467,0.2204,0.14514,0.0946,0.0716,0.0237,0.0346,0.2629,0.1687,0.1209,0.1354,0.2937,0.2691,0.2195,0.4244,0.1914,0.042,0.076,0.4664
0.0293,0.13,0.252,0.236,0.1469,0.2212,0.13662,0.0957,0.0727,0.0247,0.0358,0.2627,0.1684,0.1195,0.1362,0.3012,0.2677,0.2194,0.4242,0.1913,0.0419,0.077,0.4727
0.0242,0.1042,0.228,0.206,0.1155,0.1939,0.19832,0.0612,0.0468,0.0194,0.0283,0.2162,0.1352,0.1201,0.1302,0.2848,0.2515,0.1797,0.353,0.1482,0.0346,0.0655,0.4522
0.0267,0.1138,0.268,0.257,0.129,0.2102,0.21491,0.0783,0.0605,0.0251,0.0383,0.2421,0.1542,0.14,0.1539,0.3056,0.2836,0.2093,0.3899,0.1678,0.0426,0.0801,0.4738
0.028,0.1172,0.286,0.261,0.134,0.227,0.20753,0.0908,0.0692,0.0278,0.0442,0.2575,0.1635,0.1578,0.1586,0.3187,0.2914,0.2153,0.4034,0.1717,0.0482,0.079,0.4961
0.0267,0.1308,0.248,0.252,0.1589,0.1724,0.14556,0.0868,0.0684,0.0196,0.0368,0.2389,0.169,0.1298,0.1478,0.2278,0.2393,0.2091,0.3944,0.1956,0.0377,0.0832,0.3741
0.0214,0.1258,0.236,0.256,0.1456,0.1568,0.12183,0.0803,0.0687,0.0188,0.0377,0.1976,0.1525,0.1143,0.1367,0.2148,0.225,0.204,0.3079,0.1835,0.0353,0.0821,0.3539
0.016,0.1394,0.442,0.405,0.1831,0.1779,0.2992,0.1203,0.1179,0.0517,0.0867,0.2364,0.234,0.2782,0.2854,0.4241,0.4277,0.3165,0.2355,0.2086,0.0711,0.1258,0.5617
0.016,0.1394,0.442,0.405,0.1831,0.1779,0.2992,0.1203,0.1179,0.0517,0.0867,0.2364,0.234,0.2782,0.2854,0.4241,0.4277,0.3165,0.2355,0.2086,0.0711,0.1258,0.5617
0.0154,0.1318,0.442,0.411,0.1763,0.1672,0.24222,0.1149,0.1125,0.0494,0.0855,0.2222,0.2184,0.2662,0.2781,0.3856,0.422,0.3119,0.2259,0.1959,0.0682,0.1265,0.5126
0.0154,0.1318,0.442,0.411,0.1763,0.1672,0.24222,0.1149,0.1125,0.0494,0.0855,0.2222,0.2184,0.2662,0.2781,0.3856,0.422,0.3119,0.2259,0.1959,0.0682,0.1265,0.5126
0.0317,0.1532,0.238,0.247,0.1639,0.2233,0.13856,0.1073,0.0842,0.0252,0.0411,0.2769,0.1909,0.1249,0.1439,0.1761,0.2154,0.2138,0.4501,0.2277,0.0431,0.0781,0.2709
0.0172,0.14,0.312,0.266,0.1593,0.1479,0.1729,0.0918,0.0848,0.0334,0.0478,0.2071,0.1952,0.1806,0.1748,0.3027,0.2916,0.2314,0.2514,0.2174,0.0496,0.0809,0.4427
0.0158,0.1402,0.346,0.303,0.1649,0.1526,0.17346,0.1037,0.0992,0.0399,0.0599,0.1919,0.1866,0.1874,0.1827,0.3131,0.326,0.2557,0.2244,0.2037,0.0588,0.0966,0.4156
0.0187,0.0568,0.128,0.127,0.0762,0.1582,0.09549,0.0458,0.034,0.0124,0.022,0.1644,0.0869,0.0743,0.0794,0.1156,0.1234,0.1014,0.3056,0.1113,0.0261,0.0487,0.2249
0.0191,0.062,0.098,0.113,0.0767,0.1491,0.0732,0.0411,0.03,0.0085,0.0166,0.1618,0.0867,0.0499,0.0669,0.0989,0.1022,0.099,0.3021,0.1159,0.0164,0.0426,0.2011
0.0187,0.0572,0.114,0.118,0.0745,0.1516,0.08914,0.0433,0.032,0.0106,0.0191,0.1613,0.0844,0.0652,0.0725,0.1038,0.1125,0.0979,0.303,0.1119,0.0233,0.0445,0.211
